ON0064810,Feb,31.34
ON0064810,Mar,10.3
ON0064810,Apr,5.18
ON0064813,Feb,41.77
ON0064813,Mar,10.46
ON0064819,Feb,20.37
ON0064819,Mar,5.14
ON0116702,Jan,38.64
ON0116702,Feb,28.96
ON0116702,Mar,23.94
ON0116702,Apr,35.6
ON0116702,May,23.9
ON0116702,Dec,21.99
ON0116705,Jan,35.91
ON0116705,Feb,10.3
ON0116705,Mar,25.88
ON0116705,Apr,31.02
ON0116705,May,15.66
ON0116705,Dec,20.38
ON0116708,Jan,63.21
ON0116708,Feb,32.44
ON0116708,Mar,33.2
ON0116708,Apr,48.48
ON0116708,May,48.48
ON0116708,Dec,46.8
ON0116719,Jan,656.64
ON0116719,Feb,733.54
ON0116719,Mar,841.18
ON0116719,Apr,1247.21
ON0116719,May,735.44
ON0116741,Jan,61.59
ON0116741,Feb,31.18
ON0116741,Mar,31.38
ON0116741,Apr,56.3
ON0116741,May,36.08
ON0116741,Dec,40.67
ON0116742,Jan,67.51
ON0116742,Feb,37.26
ON0116742,Mar,26.5
ON0116742,Apr,64.54
ON0116742,May,42.7
ON0116742,Dec,20.67
ON0116749,Jan,67.73
ON0116749,Feb,31.64
ON0116749,Mar,36.78
ON0116749,Apr,58.14
ON0116749,May,37.12
ON0116749,Dec,41.08
ON0116755,Jan,177
ON0116755,Feb,99.76
ON0116755,Mar,105.16
ON0116755,Apr,185.64
ON0116755,May,114.04
ON0116755,Dec,99.41
ON0116758,Jan,68.29
ON0116758,Feb,45.12
ON0116758,Mar,65.96
ON0116758,Apr,84.22
ON0116758,May,59.76
ON0116758,Dec,29.13
ON0116762,Jan,65.54
ON0116762,Feb,27.82
ON0116762,Mar,50.38
ON0116762,Apr,73.22
ON0116762,May,34.72
ON0116762,Dec,42.62
ON0116766,Jan,35.58
ON0116766,Feb,20.68
ON0116766,Mar,15.36
ON0116766,Apr,30.94
ON0116766,May,15.68
ON0116766,Dec,20.28
ON0116768,Jan,85.44
ON0116768,Feb,71.94
ON0116768,Mar,53.32
ON0116768,Apr,66.64
ON0116768,May,39.94
ON0116768,Dec,52.16
ON0116775,Jan,20.23
ON0116775,Mar,15.22
ON0116775,Apr,15.1
ON0116775,May,5.12
ON0116775,Dec,10.06
ON0116784,Jan,136.62
ON0116784,Feb,76.88
ON0116784,Mar,95.26
ON0116784,Apr,117.1
ON0116784,May,67.03
ON0116784,Dec,72.69
ON0120611,Feb,10.4
ON0120611,Dec,5.12
ON0120614,Feb,30.59
ON0120614,Mar,10.24
ON0245107,Feb,42.08
ON0245107,Mar,5.48
ON0245109,Feb,20.3
ON0245112,Feb,36.57
ON0245112,Mar,15.72
ON0245115,Feb,81.77
ON0245115,Mar,5.14
